User Name,User ID,Points Balance,Total Harvested,Store Spent,Quest Points Earned,Quests Completed,Tips Given,Drops Claimed,Magic Embeds Claimed,Highest Tip Received,Total Tips Received,Total Tokens Received,Highest Tip Given,Total Tips Given,Total Magic Embeds
The Pied Piper of Bbnft,973986241202753586,388399,0,0,0,0,0,0,0,0,0,0,0,0,0
Victorifyd6r,729674774745186405,350000,0,0,0,0,0,0,0,0,0,0,0,0,0
dingo,625662297033146368,340000,0,0,0,0,0,0,0,0,0,0,0,0,0
HamBearPig,776667871173541909,338000,0,0,0,0,0,0,0,0,0,0,0,0,0
johngope,650836758321430564,331000,0,0,0,0,0,0,0,0,0,0,0,0,0
GIDS,931474434303344670,320000,0,0,0,0,0,0,0,0,0,0,0,0,0
IrinKra𝕊,899076429633945611,315000,0,0,0,0,0,0,0,0,0,0,0,0,0
inkstaincowboy,1056627693619265596,307400,0,0,0,0,0,0,0,0,0,0,0,0,0
bigbear🇺🇲,678680281904971809,295000,0,0,0,0,0,0,0,0,0,0,0,0,0
cryptodaniel,734200554322001922,294600,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital_🇷,1002066138617888778,285000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerstin,1208076026727501824,285000,0,0,0,0,0,0,0,0,0,0,0,0,0
Token77,429757499147812904,270000,0,0,0,0,0,0,0,0,0,0,0,0,0
